word,reading,meanings,level,example_ja,example_en
アイデア,,idea,N1,ナイスアイデア！,That's a good idea!
アクセル,,accelerator,N1,私は注意深くアクセルを踏んだ。,I stepped on the accelerator carefully.
あくどい,,1.  gaudy; showy; excessive; 2.  vicious,N1,あくどい事をするな。,Don't do wicked things.
あざ笑う,あざわらう,to sneer at; to ridicule,N1,間違えたからと言って彼をあざ笑うな。,Don't laugh at him for making a mistake.
あっさり,,easily; readily; quickly,N1,彼女はあっさりと答えた。,She answered easily.
アップ,,up,N1,ネバー・ギブ・アップ！,Never give up.
アプローチ,,approach (in golf),N1,うまいアプローチだね。,That's a good approach.
あべこべ,,contrary; opposite; inverse,N1,あなたはシャツをあべこべに着ている。,You are wearing your shirt inside out.
アマチュア,,amateur,N1,彼はアマチュアにすぎない。,He is just an amateur.
あやふや,,uncertain; vague; ambiguous,N1,あやふやな手つきで一枚の紙を動かした。,She fumbled with a piece of paper.
あら,,oh; ah; saw-edged perch (Niphon spinosus),N1,あらあらあら。,"Well, well, well."
アラブ,,Arab,N1,アラブの方ですか？,Are you an Arab?
あられ,,kind of cookie; cartoon character,N1,,
アルカリ,,alkali,N1,アルカリは酸を中和する。,Alkalis neutralize acids.
アルミ,,aluminum (Al); aluminium,N1,アルミは金属です。,Aluminium is a metal.
アワー,,hour,N1,ラッシュアワーの交通渋滞にあった。,I was caught in the rush hour.
アンケート,,(fr:) (n) questionnaire (fr: enquete); survey,N1,アンケートの項目が多すぎる。,There are too many items in the survey.
アンコール,,encore,N1,歌手に向かって盛んなアンコールが起こった。,Everyone called out to the singer for an encore.
いい加減,いいかげん,moderate; right; random; not thorough; vague; irresponsible; halfhearted,N1,いい加減にして！,That's enough!
イエス,,Jesus; yes,N1,そこにイエスの母もいた。,Jesus' mother was there.
いく,,to come; to orgasm,N1,試していく。,I'll keep trying.
いざ,,now; come (now); well; crucial moment,N1,いざという時役に立つよ。,This will come in handy in a pinch.
いっそ,,rather; sooner; might as well,N1,いっそ断れば。,Just say no.
いやに,,awfully; terribly,N1,今日はいやに暑い。,It's awfully hot today.
インターチェンジ,,interchange,N1,,
インターナショナル,,international,N1,,
インターフォン,,intercom,N1,,
インテリ,,egghead; intelligentsia,N1,インテリアの趣味がいいですね。,You have a good taste in interior design.
インフォメーション,,information,N1,空港のインフォメーションカウンターで働いています。,I work at an airport information desk.
インフレ,,inflation,N1,インフレが進んでいます。,Prices are high.
ウェートレス,,waitress,N1,,
うんざり,,tedious; boring; being fed up with,N1,うんざりだわ！,I'm sick of it!
エアメール,,air mail,N1,彼女は手紙をエアメールした。,She sent the letter by airmail.
えい,,ray (fish),N1,ただ待ってさえいればいい。,All you have to do is to wait.
エレガント,,elegant,N1,なんてエレガントなヨットなんでしょう！,What an elegant yacht!
エンジニア,,engineer,N1,私はエンジニアです。,I am an engineer.
おおい,,hey!,N1,彼はおおいに稼ぐ。,He earns a great deal.
オーケー,,OK,N1,すべてオーケーだ。,Everything is OK.
オートマチック,,automatic,N1,,
オープン,,open,N1,もうオープンしてる？,Is it already open?
おっかない,,frightening; huge,N1,妻がおっかないんだ。,I'm afraid of my wife.
おどおど,,coweringly; hesitantly,N1,おどおどして首をたれた。,He hung his head sheepishly.
オリエンテーション,,orientation,N1,新入生向けのオリエンテーションを行う。,We will have a period of orientation for freshmen.
オレンジ,,an orange,N1,彼はオレンジが好き。,He likes oranges.
オンライン,,on-line,N1,トムはオンライン授業を受けてるよ。,Tom is taking online classes.
お蔭,おかげ,(your) backing; assistance,N1,私が今日あるのはおじのお蔭である。,I owe what I am today to my uncle.
お蔭様で,おかげさまで,Thanks to god; thanks to you,N1,,
お願いします,おねがいします,please,N1,お願いします。,Please.
